"","estimate","ci_95_lower","ci_95_higher"
"Author",6.832,6.081,7.583
"Bartolj et al. (2013)",8.125,7.48,8.77
"Staiger et al. (1997)",7.873,6.664,9.082
"Webbink (2004)",10.626,8.686,12.566
